Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/29/2022,07/31/2022,SQ *METHOD,Food & Drink,Sale,-7.73,
07/29/2022,07/31/2022,ANGELOS DELI RESTAURANT,Food & Drink,Sale,-7.70,
07/31/2022,07/31/2022,LYFT   *3 RIDES 07-29,Travel,Sale,-63.40,
07/30/2022,07/31/2022,LYFT   *3 RIDES 07-28,Travel,Sale,-34.97,
07/29/2022,07/31/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/28/2022,07/29/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/28/2022,07/29/2022,ANGELOS DELI RESTAURANT,Food & Drink,Sale,-8.70,
07/29/2022,07/29/2022,LYFT   *2 RIDES 07-27,Travel,Sale,-72.98,
07/28/2022,07/29/2022,SQ *METHOD,Food & Drink,Sale,-9.86,
07/28/2022,07/28/2022,LYFT   *3 RIDES 07-26,Travel,Sale,-62.46,
07/27/2022,07/28/2022,ANGELOS DELI RESTAURANT,Food & Drink,Sale,-7.70,
07/27/2022,07/27/2022,LYFT   *3 RIDES 07-25,Travel,Sale,-64.94,
07/26/2022,07/27/2022,CE QUI SABE GRILL,Food & Drink,Sale,-13.00,
07/26/2022,07/27/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/24/2022,07/26/2022,MOCHIRON INC,Food & Drink,Sale,-67.79,
07/25/2022,07/26/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/25/2022,07/26/2022,ANGELOS DELI RESTAURANT,Food & Drink,Sale,-10.70,
07/22/2022,07/25/2022,MOCHIRON INC,Food & Drink,Sale,-65.62,
07/23/2022,07/25/2022,NJT BUS - MYTIX,Travel,Sale,-7.00,
07/25/2022,07/25/2022,LYFT   *1 RIDE 07-23,Travel,Sale,-45.00,
07/23/2022,07/25/2022,NJT BUS - MYTIX,Travel,Sale,-7.00,
07/23/2022,07/25/2022,LA PUPUSA LOCA 2,Food & Drink,Sale,-52.51,
07/24/2022,07/25/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/24/2022,07/25/2022,TST* AMPLE HILLS CREAMERY,Food & Drink,Sale,-7.57,
07/24/2022,07/24/2022,LYFT   *2 RIDES 07-22,Travel,Sale,-67.83,
07/22/2022,07/24/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/22/2022,07/24/2022,MTA*LIRR ETIX TICKET,Travel,Sale,-66.00,
07/23/2022,07/24/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/23/2022,07/24/2022,LYFT   *2 RIDES 07-21,Travel,Sale,-54.96,
07/22/2022,07/24/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/21/2022,07/22/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/20/2022,07/22/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/22/2022,07/22/2022,LYFT   *2 RIDES 07-20,Travel,Sale,-50.56,
07/21/2022,07/21/2022,LYFT   *2 RIDES 07-19,Travel,Sale,-58.14,
07/20/2022,07/21/2022,NJT MOBILE 3001,Travel,Sale,-52.50,
07/20/2022,07/21/2022,ANGELOS DELI RESTAURANT,Food & Drink,Sale,-7.70,
07/19/2022,07/20/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/20/2022,07/20/2022,LYFT   *2 RIDES 07-18,Travel,Sale,-17.66,
07/19/2022,07/20/2022,SQ *METHOD,Food & Drink,Sale,-5.90,
07/19/2022,07/20/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/19/2022,07/20/2022,MTA*LIRR ETIX TICKET,Travel,Sale,-7.75,
07/19/2022,07/20/2022,NJT MOBILE 3001,Travel,Sale,-5.25,
07/18/2022,07/19/2022,MTA*LIRR ONBOARDTICKET,Travel,Sale,-7.75,
07/16/2022,07/18/2022,POCHANA.,Food & Drink,Sale,-38.85,
07/16/2022,07/18/2022,NJT MOBILE 3001,Travel,Sale,-10.50,
